Div,Date,Y,Team_Home,Team_Away,G_Home,G_Away,S_Home,S_Away,pH,pD,pA,xG_Home,xG_Away,GameID,GD_Home,GD_Away,SD_Home,SD_Away,xGD_Home,xGD_Away
Ligue_1,2014-08-08,14,Reims,Paris SG,2,2,9,16,0.08984128115099864,0.1966746758396108,0.7134840430093907,1.3678700000000001,2.65538,0,0,0,-7,7,-1.28751,1.28751
Ligue_1,2014-08-09,14,Montpellier,Bordeaux,0,1,15,7,0.3860369609856263,0.31710178938105016,0.2968612496333235,1.01756,0.750184,1,-1,1,8,-8,0.26737600000000006,-0.26737600000000006
Ligue_1,2014-08-09,14,Lille,Metz,0,0,14,2,0.6367560900400864,0.2358926919518964,0.12735121800801727,1.5446799999999998,0.057137099999999996,2,0,0,12,-12,1.4875428999999998,-1.4875428999999998
Ligue_1,2014-08-09,14,Guingamp,St Etienne,0,2,6,7,0.28270113581249506,0.3126022174849705,0.4046966467025344,0.63294,1.49532,3,-2,2,-1,1,-0.86238,0.86238
Ligue_1,2014-08-09,14,Evian Thonon Gaillard,Caen,0,3,10,12,0.39973355133678506,0.2973627637993157,0.30290368486389924,0.813737,1.23869,4,-3,3,-2,2,-0.424953,0.424953
Ligue_1,2014-08-09,14,Bastia,Marseille,3,3,13,9,0.2452258998413273,0.29221529382289896,0.4625588063357738,1.39689,1.31751,5,0,0,4,-4,0.07938,-0.07938
Ligue_1,2014-08-09,14,Nice,Toulouse,3,2,22,11,0.3421926910299003,0.3156146179401993,0.3421926910299003,2.21481,1.56361,6,1,-1,11,-11,0.6512,-0.6512
Ligue_1,2014-08-09,14,Nantes,Lens,1,0,14,5,0.4785052733015686,0.2976069382729268,0.22388778842550447,1.025,0.167128,7,1,-1,9,-9,0.857872,-0.857872
Ligue_1,2014-08-10,14,Lyon,Rennes,2,0,19,7,0.526508226691042,0.2767159714143261,0.1967758018946319,2.064,0.375946,8,2,-2,12,-12,1.6880540000000002,-1.6880540000000002
Ligue_1,2014-08-10,14,Monaco,Lorient,1,2,12,9,0.6881405563689604,0.2079062957540264,0.10395314787701317,2.09333,1.6254,9,-1,1,3,-3,0.46792999999999996,-0.46792999999999996
Ligue_1,2014-08-15,14,Caen,Lille,0,1,11,8,0.2623149086392312,0.30399110907723986,0.4336939822835289,0.27379899999999996,0.945961,10,-1,1,3,-3,-0.6721620000000001,0.6721620000000001
