Div,Y,Team,priorGD
Bundesliga,15,Augsburg,-0.009031939532093275
Bundesliga,15,Bayern Munich,1.5895937993119773
Bundesliga,15,Darmstadt,-0.5078909212269892
Bundesliga,15,Dortmund,0.11988949101984792
Bundesliga,15,Ein Frankfurt,-0.1637376561944227
Bundesliga,15,FC Koln,-0.1637376561944227
Bundesliga,15,Hamburg,-0.6536390922917992
Bundesliga,15,Hannover,-0.42158051729830504
Bundesliga,15,Hertha,-0.42158051729830504
Bundesliga,15,Hoffenheim,-0.1637376561944227
Bundesliga,15,Ingolstadt,-0.5078909212269892
Bundesliga,15,Leverkusen,0.6355752132276127
Bundesliga,15,M'gladbach,0.6871437854483892
Bundesliga,15,Mainz,-0.06060051175286975
Bundesliga,15,Schalke 04,0.0425366326886832
Bundesliga,15,Stuttgart,-0.4731490895190815
Bundesliga,15,Werder Bremen,-0.3957962311879168
Bundesliga,15,Wolfsburg,0.8676337882211068
Bundesliga,16,Augsburg,-0.2826318643701018
Bundesliga,16,Bayern Munich,1.5996210216882396
Bundesliga,16,Darmstadt,-0.41155329492204296
Bundesliga,16,Dortmund,1.212856730032416
Bundesliga,16,Ein Frankfurt,-0.4889061532532077
Bundesliga,16,FC Koln,-0.1279261477077724
Bundesliga,16,Freiburg,-0.5236479849611154
Bundesliga,16,Hamburg,-0.17949471992854887
Bundesliga,16,Hertha,-0.024789003266219432
Bundesliga,16,Hoffenheim,-0.41155329492204296
Bundesliga,16,Ingolstadt,-0.25684757825971355
Bundesliga,16,Leverkusen,0.3877595744999924
Bundesliga,16,M'gladbach,0.4135438606103806
Bundesliga,16,Mainz,0.07834814117533351
Bundesliga,16,RB Leipzig,-0.5236479849611154
Bundesliga,16,Schalke 04,0.02677956895455704
Bundesliga,16,Werder Bremen,-0.41155329492204296
Bundesliga,16,Wolfsburg,-0.07635757548699591
Bundesliga,17,Augsburg,-0.43733758103243126
Bundesliga,17,Bayern Munich,1.7027581661297926
Bundesliga,17,Dortmund,0.8003081522662041
Bundesliga,17,Ein Frankfurt,-0.2052790060389371
Bundesliga,17,FC Koln,0.2072695717272747
Bundesliga,17,Freiburg,-0.48890615325320774
Bundesliga,17,Hamburg,-0.7467490143570901
Bundesliga,17,Hannover,-0.5236479849611154
Bundesliga,17,Hertha,-0.12792614770777241
Bundesliga,17,Hoffenheim,0.671386721714263
Bundesliga,17,Leverkusen,-0.07635757548699593
Bundesliga,17,M'gladbach,-0.12792614770777241
Bundesliga,17,Mainz,-0.3084161504804901
Bundesliga,17,RB Leipzig,0.671386721714263
Bundesliga,17,Schalke 04,0.10413242728572174
Bundesliga,17,Stuttgart,-0.5236479849611154
Bundesliga,17,Werder Bremen,-0.10214186159738417
Bundesliga,17,Wolfsburg,-0.48890615325320774
Bundesliga,18,Augsburg,-0.10643924261578216
Bundesliga,18,Bayern Munich,1.6211079267802295
Bundesliga,18,Dortmund,0.40924647959198257
Bundesliga,18,Ein Frankfurt,-0.029086384284617448
Bundesliga,18,Fortuna Dusseldorf,-0.5279453659795134
Bundesliga,18,Freiburg,-0.6479092509339351
Bundesliga,18,Hannover,-0.28692924538849984
Bundesliga,18,Hertha,-0.10643924261578216
Bundesliga,18,Hoffenheim,0.43503076570237087
Bundesliga,18,Leverkusen,0.3318936212608179
Bundesliga,18,M'gladbach,-0.15800781483655865
Bundesliga,18,Mainz,-0.3900663898300527
Bundesliga,18,Nurnberg,-0.5279453659795134
Bundesliga,18,RB Leipzig,0.0740507601569355
Bundesliga,18,Schalke 04,0.3834621934815944
Bundesliga,18,Stuttgart,-0.029086384284617448
Bundesliga,18,Werder Bremen,-0.10643924261578216
Bundesliga,18,Wolfsburg,-0.33849781760927633
EPL,15,Arsenal,0.796924565114107
EPL,15,Aston Villa,-0.6103546294370825
EPL,15,Bournemouth,-0.5093896921429468
EPL,15,Chelsea,0.9353454694961914
EPL,15,Crystal Palace,-0.10281131336944035
EPL,15,Everton,-0.05667101190874561
EPL,15,Leicester,-0.21816206702117716
EPL,15,Liverpool,0.08174989247333861
EPL,15,Man City,1.0276260724175805
EPL,15,Man United,0.5662230578106334
