Div,Date,Y,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,pH,pD,pA
EPL,2014-08-16,14,Arsenal,Crystal Palace,2,1,1,1,0.7780377995955025,0.1519887794558656,0.06997342094863193
EPL,2014-08-16,14,Leicester,Everton,2,2,1,2,0.3119719049691585,0.2898200537287449,0.39820804130209664
EPL,2014-08-16,14,Man United,Swansea,1,2,0,1,0.7153727057391258,0.19216874644364756,0.09245854781722665
EPL,2014-08-16,14,QPR,Hull,0,1,0,0,0.39511284421626347,0.3005766422258691,0.3043105135578674
EPL,2014-08-16,14,Stoke,Aston Villa,0,1,0,0,0.5023784901758014,0.28231644260599786,0.21530506721820056
EPL,2014-08-16,14,West Brom,Sunderland,2,2,1,1,0.4436222754772477,0.293534499642131,0.2628432248806213
EPL,2014-08-16,14,West Ham,Tottenham,0,1,0,0,0.2476582025561659,0.2762609808795541,0.4760808165642801
EPL,2014-08-17,14,Liverpool,Southampton,2,1,1,0,0.7259958583610943,0.17884934466924768,0.09515479696965799
EPL,2014-08-17,14,Newcastle,Man City,0,2,0,1,0.1691068104250698,0.2291634346881787,0.6017297548867515
EPL,2014-08-18,14,Burnley,Chelsea,1,3,1,3,0.10039895487146844,0.20392885428154817,0.6956721908469834
EPL,2014-08-23,14,Aston Villa,Newcastle,0,0,0,0,0.3827893175074184,0.29164900381517594,0.3255616786774057
EPL,2014-08-23,14,Chelsea,Leicester,2,0,0,0,0.8099983781928543,0.13462885132051558,0.05537277048663015
EPL,2014-08-23,14,Crystal Palace,West Ham,1,3,0,2,0.40158011008349875,0.3014939903396114,0.29692589957689
EPL,2014-08-23,14,Everton,Arsenal,2,2,2,0,0.36050156739811906,0.28422152560083597,0.355276907001045
EPL,2014-08-23,14,Southampton,West Brom,0,0,0,0,0.5270708174039687,0.26073184052430365,0.21219734207172766
EPL,2014-08-23,14,Swansea,Burnley,1,0,1,0,0.5983216159775958,0.23759018164727774,0.1640882023751266
EPL,2014-08-24,14,Hull,Stoke,1,1,1,0,0.3953946132752339,0.30835806318320125,0.2962473235415649
